Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
0.89,0.3889,0.89,0.3569,0.89,0.3081,0.89,0.3519,0.89,0.3877,0.89,0.3825,0.89,0.3466,0.89,0.4771,0.89,0.3089,0.89,0.3655
0.9,0.3777,0.9,0.3517,0.9,0.3006,0.9,0.3503,0.9,0.3796,0.9,0.3856,0.9,0.3565,0.9,0.4884,0.9,0.3098,0.9,0.3743
0.91,0.3668,0.91,0.35,0.91,0.2964,0.91,0.349,0.91,0.3718,0.91,0.3921,0.91,0.3667,0.91,0.4996,0.91,0.3111,0.91,0.3834
0.92,0.3561,0.92,0.3488,0.92,0.2898,0.92,0.3482,0.92,0.3673,0.92,0.3959,0.92,0.377,0.92,0.5137,0.92,0.3159,0.92,0.3927
0.93,0.3457,0.93,0.348,0.93,0.2865,0.93,0.3478,0.93,0.3602,0.93,0.4031,0.93,0.3875,0.93,0.5247,0.93,0.3181,0.93,0.4023
0.94,0.3357,0.94,0.3476,0.94,0.2808,0.94,0.3477,0.94,0.3533,0.94,0.4077,0.94,0.3982,0.94,0.5355,0.94,0.3237,0.94,0.409
0.95,0.326,0.95,0.3471,0.95,0.2785,0.95,0.3475,0.95,0.3498,0.95,0.4156,0.95,0.4089,0.95,0.5462,0.95,0.3267,0.95,0.419
0.96,0.3166,0.96,0.3466,0.96,0.2738,0.96,0.3477,0.96,0.3467,0.96,0.4238,0.96,0.4198,0.96,0.5568,0.96,0.3331,0.96,0.429
0.97,0.3077,0.97,0.3465,0.97,0.2725,0.97,0.348,0.97,0.341,0.97,0.4323,0.97,0.4307,0.97,0.5701,0.97,0.3369,0.97,0.4392
0.98,0.2993,0.98,0.3464,0.98,0.2717,0.98,0.3483,0.98,0.3386,0.98,0.4381,0.98,0.4416,0.98,0.5802,0.98,0.3441,0.98,0.4495
0.99,0.2912,0.99,0.3469,0.99,0.2714,0.99,0.3487,0.99,0.3366,0.99,0.4471,0.99,0.4525,0.99,0.59,0.99,0.3486,0.99,0.4599
1,0.2837,1,0.3476,1,0.2718,1,0.3519,1,0.3349,1,0.4564,1,0.4634,1,0.5996,1,0.3564,1,0.4703
1.01,0.2766,1.01,0.3498,1.01,0.2727,1.01,0.354,1.01,0.3336,1.01,0.4658,1.01,0.4743,1.01,0.6088,1.01,0.3645,1.01,0.4807
