"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
,,109.000,0,54.500,0
,,109.200,0,54.600,0
,,109.400,0,54.700,0
,,109.600,0,54.800,0
,,109.800,0,54.900,0
,,110.000,0,55.000,0
,,110.200,0,55.100,0
,,110.400,0,55.200,0
,,110.600,0,55.300,0
,,110.800,0,55.400,0
,,111.000,0,55.500,0
,,111.200,0,55.600,0
,,111.400,0,55.700,0
,,111.600,0,55.800,0
,,111.800,0,55.900,0
,,112.000,0,56.000,0
,,112.200,0,56.100,0
,,112.400,0,56.200,0
,,112.600,0,56.300,0
,,112.800,0,56.400,0
,,113.000,0,56.500,0
,,113.200,0,56.600,0
,,113.400,0,56.700,0
,,113.600,0,56.800,0
,,113.800,0,56.900,0
,,114.000,0,57.000,0
,,114.200,0,57.100,0
,,114.400,0,57.200,0
,,114.600,0,57.300,0
,,114.800,0,57.400,0
,,115.000,0,57.500,0
,,115.200,0,57.600,0
,,115.400,0,57.700,0
,,115.600,0,57.800,0
,,115.800,0,57.900,0
,,116.000,0,58.000,0
,,116.200,0,58.100,0
,,116.400,0,58.200,0
,,116.600,0,58.300,0
,,116.800,0,58.400,0
,,117.000,0,58.500,0
,,117.200,0,58.600,0
,,117.400,0,58.700,0
,,117.600,0,58.800,0
,,117.800,0,58.900,1
,,118.000,0,59.000,0
,,118.200,0,59.100,0
,,118.400,0,59.200,0
,,118.600,0,59.300,0
,,118.800,0,59.400,0
,,119.000,0,59.500,0
,,119.200,0,59.600,0
,,119.400,0,59.700,0
,,119.600,0,59.800,0
,,119.800,0,59.900,0
,,120.000,0,60.000,0
,,120.200,0,,
,,120.400,0,,
,,120.600,1,,
,,120.800,0,,
,,121.000,0,,
,,121.200,0,,
,,121.400,0,,
,,121.600,0,,
,,121.800,0,,
,,122.000,0,,
,,122.200,0,,
,,122.400,0,,
,,122.600,0,,
,,122.800,1,,
,,123.000,0,,
,,123.200,0,,
,,123.400,0,,
,,123.600,0,,
,,123.800,0,,
,,124.000,0,,
,,124.200,0,,
,,124.400,0,,
,,124.600,0,,
,,124.800,0,,
,,125.000,0,,
,,125.200,0,,
,,125.400,0,,
,,125.600,0,,
,,125.800,0,,
,,126.000,0,,
,,126.200,0,,
,,126.400,0,,
,,126.600,0,,
,,126.800,0,,
,,127.000,0,,
,,127.200,0,,
,,127.400,0,,
,,127.600,0,,
,,127.800,0,,
,,128.000,0,,
,,128.200,0,,
